"Name","Runtime","Notes","Tags","AUC Precision Recall - DDR COTTON_WOOL_SPOT","AUC Precision Recall - DDR EXUDATES","AUC Precision Recall - DDR HEMORRHAGES","AUC Precision Recall - DDR MICROANEURYSMS","AUC Precision Recall - FGADR COTTON_WOOL_SPOT","AUC Precision Recall - FGADR EXUDATES","AUC Precision Recall - FGADR HEMORRHAGES","AUC Precision Recall - FGADR MICROANEURYSMS","AUC Precision Recall - IDRID COTTON_WOOL_SPOT","AUC Precision Recall - IDRID EXUDATES","AUC Precision Recall - IDRID HEMORRHAGES","AUC Precision Recall - IDRID MICROANEURYSMS","AUC Precision Recall - MESSIDOR COTTON_WOOL_SPOT","AUC Precision Recall - MESSIDOR EXUDATES","AUC Precision Recall - MESSIDOR HEMORRHAGES","AUC Precision Recall - MESSIDOR MICROANEURYSMS","AUC Precision Recall - RETLES COTTON_WOOL_SPOT","AUC Precision Recall - RETLES EXUDATES","AUC Precision Recall - RETLES HEMORRHAGES","AUC Precision Recall - RETLES MICROANEURYSMS","epoch","lr-AdamW","mIoU - DDR","mIoU - FGADR","mIoU - IDRID","mIoU - MESSIDOR","mIoU - RETLES","train_loss_epoch","train_loss_step","trainer/global_step","val_IoU COTTON_WOOL_SPOT","val_IoU EXUDATES","val_IoU HEMORRHAGES","val_IoU MICROANEURYSMS","val_loss","val_mIoU"
"absurd-cherry-103","47340","-","DDR, FGADR, IDRID, RETLES","0.5319439768791199","0.6427090167999268","0.5518141388893127","0.2646307051181793","0.4654828906059265","0.683296263217926","0.6464148759841919","0.32930153608322144","0.6334108114242554","0.7984287738800049","0.6758344173431396","0.4265742599964142","0.30782589316368103","0.5636851191520691","0.35777780413627625","0.217971071600914","0.522967517375946","0.6982710361480713","0.5457362532615662","0.41421231627464294","1250","0.0000010000024461937583","0.4631955325603485","0.4810834527015686","0.5695921182632446","0.3656875789165497","0.49208807945251465","0.27389639616012573","0.38942253589630127","55000","0.35519516468048096","0.49535316228866577","0.389664888381958","0.20573173463344577","0.3929211497306824","0.48604267835617065"
"sparkling-durian-105","45695","-","DDR, FGADR, MESSIDOR, RETLES","0.5278394222259521","0.5933614373207092","0.5059713125228882","0.21479731798171997","0.4477571249008178","0.6931542158126831","0.6563593149185181","0.3236185312271118","0.6206957101821899","0.7324162125587463","0.6433958411216736","0.3569789528846741","0.27971500158309937","0.7406830787658691","0.41394588351249695","0.4466344714164734","0.5177322626113892","0.6995638608932495","0.519046425819397","0.4099258482456207","1175","0.00002796983281306232","0.4391441941261291","0.4828034639358521","0.5281238555908203","0.4488142430782318","0.48595747351646423","0.2650933563709259","0.2660443186759949","52875","0.3564126193523407","0.49123460054397583","0.36303725838661194","0.20491957664489743","0.3924989700317383","0.4799438416957855"
"pious-grass-74","25374","-","DDR, FGADR","0.5162181854248047","0.6495888233184814","0.5111848711967468","0.2759007513523102","0.4437731504440307","0.6901155710220337","0.6513307690620422","0.33491215109825134","0.6091134548187256","0.7642138600349426","0.638473629951477","0.3698263168334961","0.36779260635375977","0.6154019832611084","0.5576106309890747","0.47406938672065735","0.4035232365131378","0.4783243238925934","0.475172758102417","0.33111968636512756","1100","0.00010635352493455198","0.45298129320144653","0.47703978419303894","0.5116416811943054","0.3693925440311432","0.2613159120082855","0.2546551525592804","0.2697308659553528","28600","0.2819311320781708","0.31683874130249023","0.277615487575531","0.05299064889550209","0.5184423923492432","0.3823789358139038"
"giddy-pond-99","46451","-","DDR, FGADR, RETLES","0.5148215293884277","0.635836660861969","0.5448365211486816","0.2620052993297577","0.45100730657577515","0.6826896071434021","0.6487076878547668","0.29610028862953186","0.6411781311035156","0.7592968940734863","0.6258161067962646","0.379564493894577","0.3460037410259247","0.4591947197914123","0.3109397292137146","0.20852988958358765","0.534406840801239","0.6948162317276001","0.521206259727478","0.4137295484542846","1250","0.000001000002561293112","0.4585947990417481","0.4762871265411377","0.531148374080658","0.35039472579956055","0.4914386868476868","0.2725401520729065","0.2806573808193207","53750","0.36912375688552856","0.4932431876659394","0.3840935230255127","0.20367015898227692","0.391787588596344","0.4868552386760712"
"earnest-firefly-90","23938","-","DDR, RETLES","0.5108554363250732","0.6233984231948853","0.4949764907360077","0.24197249114513397","0.3150779604911804","0.31192484498023987","0.3011735677719116","0.06760581582784653","0.6686812043190002","0.7387003302574158","0.6275594830513","0.371734082698822","0.32227590680122375","0.4369085729122162","0.32720455527305603","0.184332475066185","0.5281520485877991","0.6991705298423767","0.5153729915618896","0.4195640683174134","1150","0.000048150307527141154","0.44572287797927856","0.29200059175491333","0.5208796262741089","0.33958250284194946","0.4883459508419037","0.25549015402793884","0.2616395056247711","26450","0.26201462745666504","0.31046634912490845","0.25522395968437195","0.09552931040525436","0.5129755735397339","0.378850519657135"
"decent-haze-106","49440","-","DDR, FGADR, IDRID, MESSIDOR, RETLES","0.5084977746009827","0.6117375493049622","0.5447860956192017","0.23405438661575317","0.4449217915534973","0.6951484084129333","0.6508341431617737","0.2895563244819641","0.6701094508171082","0.7860875129699707","0.6743975877761841","0.398461639881134","0.3307325839996338","0.7123324871063232","0.3926454186439514","0.4098129868507385","0.5254419445991516","0.7039055824279785","0.5196094512939453","0.4127877354621887","1250","0.00000100000223810532","0.4467681348323822","0.4752933979034424","0.5718318223953247","0.435278058052063","0.4897497892379761","0.26878297328948975","0.3656185269355774","57500","0.36051878333091736","0.4836112558841706","0.3918623626232147","0.2093367725610733","0.39205923676490784","0.48593831062316895"
"dandy-elevator-86","27127","-","DDR, FGADR","0.4884873628616333","0.6282310485839844","0.569524347782135","0.2738822102546692","0.4462114870548248","0.683203399181366","0.6535525321960449","0.30897611379623413","0.6606543064117432","0.7637006640434265","0.6317943930625916","0.3746587038040161","0.42747893929481506","0.6066763401031494","0.5247209668159485","0.477279394865036","0.4015760123729706","0.4844755530357361","0.48326942324638367","0.3189646005630493","1175","0.00002758743500783905","0.4525401294231415","0.47390758991241455","0.5284790992736816","0.35633328557014465","0.26332980394363403","0.24932610988616943","0.26727986335754395","30550","0.2802946865558624","0.3172335922718048","0.2697485089302063","0.05499209836125374","0.5159321427345276","0.3809048533439636"
"autumn-sky-79","6037","-","DDR","0.4859696328639984","0.6418529152870178","0.4613308012485504","0.2641676068305969","0.3576754033565521","0.3945787847042084","0.4457547068595886","0.10515261441469193","0.6080663800239563","0.7375781536102295","0.5904535055160522","0.35814669728279114","0.3049792945384979","0.606965184211731","0.5335363745689392","0.4691299498081207","0.3789542615413666","0.48475417494773865","0.461167424917221","0.3289206922054291","975","0.00034551586561059125","0.4301273226737976","0.263582319021225","0.485946923494339","0.3537899851799011","0.24757447838783264","0.2335452288389206","0.2303029298782349","5850","0.1775238811969757","0.15697894990444183","0.11716778576374054","0.03177569806575775","0.6323744654655457","0.2927621006965637"
"tough-fire-67","7293","-","DDR","0.47828176617622375","0.6540009379386902","0.47261589765548706","0.2639431357383728","0.34258678555488586","0.4329646825790405","0.39539000391960144","0.0969199612736702","0.634250283241272","0.7292148470878601","0.600476086139679","0.360451340675354","0.3280741274356842","0.6168362498283386","0.5378011465072632","0.47623488306999207","0.3754658997058869","0.4912140965461731","0.4804379343986511","0.29897210001945496","1175","0.00002767809265683456","0.43946126103401184","0.2886615991592407","0.4913206696510315","0.3484574556350708","0.2514903247356415","0.23820848762989044","0.2891240119934082","7050","0.1946895718574524","0.19443920254707336","0.14200827479362488","0.03158413618803024","0.6082767844200134","0.3086399734020233"
"sweet-cherry-92","29595","-","DDR, FGADR, IDRID","0.46619927883148193","0.6367419362068176","0.5308231711387634","0.27012473344802856","0.429860383272171","0.6873154640197754","0.6466289162635803","0.29212331771850586","0.6938157677650452","0.8080890774726868","0.6859880685806274","0.4250516593456268","0.19805219769477844","0.6253232359886169","0.5566278100013733","0.4901790320873261","0.4190495014190674","0.48764508962631226","0.49472925066947937","0.31215134263038635","1250","0.0000010000064963387323","0.4452337622642517","0.47055763006210327","0.5877282023429871","0.38269156217575073","0.2691454291343689","0.25916582345962524","0.3410017490386963","33750","0.29820746183395386","0.32162749767303467","0.2797350287437439","0.05990469455718994","0.5115792155265808","0.3883891701698303"
"fresh-grass-96","25764","-","DDR, IDRID, RETLES","0.4658878147602082","0.6269139051437378","0.4811219274997711","0.2499805986881256","0.3198137581348419","0.2694093883037567","0.3201392590999603","0.09511998295783997","0.6337372064590454","0.7951803803443909","0.669472873210907","0.4233335852622986","0.26719537377357483","0.4913209080696106","0.3446515202522278","0.218222051858902","0.5233049392700195","0.6923438310623169","0.523472249507904","0.4138192236423493","1200","0.000012843694271859142","0.43760812282562256","0.2958420515060425","0.5612010955810547","0.35318243503570557","0.4874333143234253","0.23682986199855804","0.25724703073501587","28800","0.28879979252815247","0.2917025685310364","0.2622760236263275","0.106556735932827","0.5011942386627197","0.38433200120925903"
"devoted-vortex-104","28801","-","DDR, IDRID, MESSIDOR, RETLES","0.4578924179077149","0.6320803165435791","0.4338342249393463","0.23127152025699615","0.34602195024490356","0.2354404479265213","0.2512340545654297","0.03873514384031296","0.6523497700691223","0.7933239340782166","0.6658908724784851","0.40896615386009216","0.24532432854175568","0.7421819567680359","0.4032748639583587","0.4285532534122467","0.5208280086517334","0.7009718418121338","0.5240214467048645","0.4015791416168213","1250","0.0000010000070056671766","0.426994264125824","0.28108012676239014","0.5654397010803223","0.44146862626075745","0.4867613911628723","0.2364879548549652","0.29599082469940186","32500","0.3019838333129883","0.2735360264778137","0.24205751717090607","0.1172991618514061","0.5065644979476929","0.381390392780304"
"still-leaf-101","24258","-","DDR, FGADR, IDRID, MESSIDOR","0.457368940114975","0.6329895853996277","0.5145682692527771","0.2747744619846344","0.44769832491874695","0.6798108816146851","0.6528772711753845","0.3174564242362976","0.6988955736160278","0.7922008633613586","0.672662615776062","0.4283767640590668","0.27259260416030884","0.7339568138122559","0.5706067085266113","0.5215961337089539","0.3837764263153076","0.4732452929019928","0.4625260829925537","0.30588966608047485","950","0.0004075005066507055","0.4416942596435547","0.475656121969223","0.5817502737045288","0.4823140501976013","0.2645682096481323","0.2802794277667999","0.3767892718315125","27550","0.3000325858592987","0.3177488148212433","0.28208503127098083","0.06831339001655579","0.5061405897140503","0.39013147354125977"
"lemon-pyramid-97","24653","-","DDR, FGADR, MESSIDOR","0.45660287141799927","0.6297722458839417","0.5707348585128784","0.24827170372009277","0.4415607154369354","0.686659574508667","0.6509619355201721","0.32848912477493286","0.6468971967697144","0.7483927607536316","0.6346449851989746","0.3616706430912018","0.351058691740036","0.7290223836898804","0.5588782429695129","0.5059888958930969","0.37841251492500305","0.4874893128871918","0.47210693359375","0.30894675850868225","1000","0.0002874581346631745","0.4449548125267029","0.4807740151882171","0.5215922594070435","0.4828732907772064","0.26075175404548645","0.2593878507614136","0.3605084121227264","28000","0.27266380190849304","0.32166680693626404","0.2483724504709244","0.06674182415008545","0.515643298625946","0.37831950187683105"
"olive-river-100","18470","-","DDR, MESSIDOR, RETLES","0.45486965775489807","0.6194876432418823","0.509984016418457","0.22580093145370483","0.32103854417800903","0.2556511163711548","0.23796547949314115","0.08645398169755936","0.6702865362167358","0.7544373273849487","0.6330161094665527","0.3760179877281189","0.3076638877391815","0.7422822117805481","0.39768022298812866","0.4493102431297302","0.5194254517555237","0.7020096182823181","0.5176387429237366","0.41882890462875366","825","0.0007815474264876389","0.4347046613693238","0.28118517994880676","0.5393452644348145","0.4477427303791046","0.4883694052696228","0.26238203048706055","0.2512706518173218","20625","0.28237584233283997","0.2966340482234955","0.23300528526306152","0.10289068520069122","0.5189858078956604","0.3776118755340576"
"tough-butterfly-94","7079","-","DDR, IDRID, MESSIDOR","0.4479251503944397","0.6391761302947998","0.5343164205551147","0.2590641677379608","0.3546585142612457","0.3664523959159851","0.4525788128376007","0.13394536077976227","0.6831457018852234","0.8068763613700867","0.6755352020263672","0.4420076608657837","0.14257796108722687","0.7418645620346069","0.5910438299179077","0.5129395723342896","0.37379419803619385","0.4959409832954407","0.4816318154335022","0.317065566778183","825","0.0007876698698131414","0.4327636659145355","0.25602900981903076","0.5829247236251831","0.4712155759334564","0.25537392497062683","0.22652411460876465","0.219517320394516","7425","0.21127024292945865","0.1083957701921463","0.1165946200489998","0.040107909590005875","0.6341708302497864","0.29134601354599"
"clear-serenity-71","8610","-","DDR, IDRID","0.4388827979564667","0.6417152285575867","0.488671600818634","0.26338475942611694","0.3902587592601776","0.40565335750579834","0.4570272564888001","0.08427304029464722","0.6679341197013855","0.8136278986930847","0.6935656070709229","0.417219340801239","0.2509162724018097","0.6211713552474976","0.5637866258621216","0.47153303027153015","0.3955593407154083","0.45119723677635193","0.4608429968357086","0.32055237889289856","1250","0.000001000096649610756","0.4348224997520447","0.2844051718711853","0.5797473788261414","0.38139817118644714","0.25412821769714355","0.21871520578861237","0.24887529015541077","8750","0.22283734381198883","0.16672687232494354","0.14175105094909668","0.03211825713515282","0.6109812259674072","0.3088211715221405"
"dandy-waterfall-91","25321","-","FGADR, IDRID, MESSIDOR","0.4102621376514435","0.5212445259094238","0.45310157537460327","0.21456459164619449","0.4702108800411224","0.6916911602020264","0.6501426100730896","0.3308943212032318","0.7346049547195435","0.8138167858123779","0.69326251745224","0.4265792667865753","0.32489585876464844","0.7278724908828735","0.5670142769813538","0.5219486355781555","0.3447939157485962","0.459658145904541","0.47220173478126526","0.29152271151542664","1250","0.0000010000089524214474","0.39126473665237427","0.48206597566604614","0.6017301082611084","0.48274898529052734","0.2820506691932678","0.26165056228637695","0.3814967274665833","28750","0.26477280259132385","0.331570565700531","0.2863364815711975","0.0753755196928978","0.5086143612861633","0.3880874812602997"
"quiet-universe-88","5559","-","DDR, MESSIDOR","0.4003515839576721","0.6374253034591675","0.5312246680259705","0.27526044845581055","0.35782748460769653","0.42579060792922974","0.3669339716434479","0.06569971889257431","0.652724027633667","0.7194255590438843","0.6092279553413391","0.3493998050689697","0.32357218861579895","0.7508087754249573","0.5702953338623047","0.5064024329185486","0.375925213098526","0.4812653660774231","0.47663596272468567","0.2976127862930298","700","0.0012199844703010855","0.42684173583984375","0.30268594622612","0.5078839659690857","0.4790440797805786","0.25661802291870117","0.27439793944358826","0.23348739743232727","5600","0.22115322947502136","0.20810885727405548","0.14179639518260956","0.04914046823978424","0.5912044644355774","0.3201504349708557"
